text,positive,negative,ade,meddra,positive_ade,positive_meddra,negative_ade,negative_meddra
excruciating pain in right buttock.,"@levaquin levaquin poisoned me and ruined my life! constant pain 24/7! i hate you, levaquin!",very bad pain in left side and buttocks.,pain,pain,pain,pain,hurt to stand,pain aggravated
@mc_elhill @mhchat @womblegeorge #mhchat lamotrigine also causes me to have fewer hours sleep a night,i wish i could be tired. shouldn't have taken the vyvanse. now i'm never sleeping.,@_rubyrouge_ i'm reducing duloxitine (been on 6 yr) and slowly increasing m but slept 13-14 hrs solid and still feel wasted,fewer hours sleep,sleep loss,never sleeping,sleep loss,slept 13-14 hrs,somnolence
"slight flush, sedation, bed wetting.","i had an extreme reaction - tunnel vision, vertigo, tingling and numbness (hands, legs, face), complete weakness in the right side of my body including loss of strength, and what i term as complete body flushes (like a hot flash without the hot).","stomach pains, gass, dry mouth and drowsiness.",slight flush,flushing,body flushes,flushing,drowsiness,drowsiness
"acid reflux, stomach pain, muscle pain, trouble with liver count.",urine color abnormal,"jaundice,right upper quadrant abdominal pain,very elevated liver function tests,itching of the skin,weakness,loss of appetite.",urine dark brown,urine color abnormal,urine dark brown,urine color abnormal,jaundice,jaundice
"constant stomach discomfort and pain, distension, gas, muscle aches, leg cramps.",mild muscle pain.,"severe abdominal pain,bloating,gas,nauseous,constant hunger.",muscle aches,myalgia,mild muscle pain,myalgia,gas,flatulence
"@almostwell what problems did you have with humira, if you don't mind me asking. i tried infliximab it destroyed my liver.",liver damage,all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more meds- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.,destroyed my liver,liver damage,destroyed my liver,liver damage,anzity,anxiety
i had been taking lipitor 10mg for 2 years.,@rowlegendary r u on any meds? my dreams on seroquel are fucked up,i have been taking 10mg of lipitor for 3 months.,abnoraml dreams,abnormal dreams,dreams,abnormal dreams,severe pain in leg,pain of lower extremities
9/20/05.,"leg, arm, shoulder, and foot pain.","jan.15th,2006.",blurred thinking,difficulty thinking,difficulty thinking,difficulty thinking,lightheadedness,lightheadedness
after taking lipitor for a number of years my muscles and joints in my legs and shoulders gradually became very painful.,"extremely dry mouth, severe joint aches, muscle cramps in lower legs, sever swelling of feet, hands and ankles, difficulty breathing, tired, memory loss, mild depression, diminished eyesight.",after about 4 years of taking lipitor i started experiencing severe leg cramping at night with the pain traveling to my buddocks and stomach as well.,painful joints,arthralgia,joint pain,arthralgia,stomach pain,stomach ache
"extremely dry mouth, severe joint aches, muscle cramps in lower legs, sever swelling of feet, hands and ankles, difficulty breathing, tired, memory loss, mild depression, diminished eyesight.","debilitating muscle and joint pain, swelling of feet and hands, numbness and tingling in feet and hands, headaches, fatigue, blurred vision.","extreme fatigue, short term memory loss, muscle weakness, hip pain, some cramping in toes.",sever swelling of hands,hand swelling,swelling hands,hand swelling,cramping in toes,foot cramps
@azlemed first two weeks of olanzapine v drowsy. weight gain was an issue. great for my anxiety though.,"stomach pains, gass, dry mouth and drowsiness.","i have been on this medication for approximately two years and it has been very affective in lowering my cholesterol; however, i did notice that i became depressed with intermittent muscle pain.",drowsy,drowsiness,drowsiness,drowsiness,depressed,depression
@rowlegendary r u on any meds? my dreams on seroquel are fucked up,to take my seroquel and have weird dreams or to not... real life lyndsey world questions,"my medication is making me stupid, brain meds are not ok , fuck u paxil",dreams,abnormal dreams,weird dreams,abnormal dreams,making me stupid,memory impairment
"@mondaysmomma it's ok, i guess it's just a case of trial and error with antidepressants. coming off venlafaxine has been so nasty :(","@shellyfanelly i was on #azathioprine for about 8 years, it worked well, now on #humira instead though which is knocking me about",@tittuck i know it made me want to be sick every time i had it plus fluoxetine is the bigges bunch of shit ive been on worse than sertraline,nasty,feeling unwell,knocking me about,feeling unwell,want to be sick,nausea
@pk_money i took a vyvanse and drank a 12oz redbull this morning. my heart was hurting a lil bit haha,"jointaches,pains in legs,musclesoreness.",i'm having to pee way too much this drive.. drinking too much water. fuck you 70mg vyvanse and your ability to dehydrate the fuck out of me.,heart was hurting,chest pain,chest hurt,chest pain,dehydrate,dehydration
"not sure if related, but increase in burning sensations in legs and hands started around the time this drug was added to my list.","congestion, cough, elbows burning, right heel pain, loss of concentration.",dosage was increased from 10 to 20 mg and the tingling and numbness in my feet and shins escalated.,burning sensations in hands,burning sensation,elbows burning,burning sensation,tingling in my feet,pins and needles
"sever muscle weakness with nerve damage,memory loss,red spots all over my body,hair loss,slowed speach,aphasia brain not sending messages to my muscles,shufflihg gait,unable to get out of chairs without help.","did not help to lower my cholesterol, 55 put on 60 pounds.","involuntary movements,muscles aches specially in back of legs, muscle weakness,, knee pain, neck pain,headaches,concentrating, blurred vision,back pain,difficulty to walk,i stop it since 10 days but i don t fell better do u know how long it take to be better?",red spots all over my body,rash,rashes,rash,muscle weakness,muscle weakness
i used to be on paxil but that made me more depressed and prozac made me angry,rt @ho0driiich: i hate how vyvanse makes me over think everything and it makes me angry about things that i shouldn't even be angry about,"you know starting with geodon, the meds messed up my attitude. how odd. it's not just about spirituality. i became a bit mean. that got",angry,anger,angry,anger,mean,unpleasant personality
i am a physician.,"the same as many people reported muscle aches as well as tingling in arm and hand, sore shoulder,fatigue,poor sleep although it did lower my cholesterol, i was not warned of the symtoms.",i was on voltaren to work as an anti-inflammatory for my infection.,fatigue,fatigue,severe fatigue,fatigue,sharp pain shoulder,pain
"05.00 day 17 rivaroxaban diary. woken up by pain in neck, hips and legs.","02.20 day 19 rivaroxaban diary woken up with pains in head, neck, back, hip and legs. seeing doc in 7 hours. no way am i continuin with rvxn","rivaroxaban diary ctd , neck and should ache, lower back pain and knee ache.",hips,pain in hip,hip,pain in hip,should ache,ache
"developed higher levels of muscular aches and pains including joint discomfort all over the body with a stronger concentration in legs, ankles and feet also a heaviness.",epigastric discomfort,"jointaches,pains in legs,musclesoreness.",upper abdominal discomfort,epigastric discomfort,upper abdominal discomfort,epigastric discomfort,ribs hurt,rib pain
"still have pain in feet and legs, since dr made me continue this lipitor (crippling medicine from hell) & when i refused to take it the 2nd time, even though they continued to tell me that i could die if i did not take it, with my response being that i could live with agonizing pain and be disabled on this medication or possibly not die from this medication and still provide for my family by working.","achilles peritendonitis and sore ankles, knees and fingers.","within 24 hrs i was having direar, severe muscle aces, headace, collapades in the floor on the third day, called the dr, went back he did a liver test and took me off the medicane, but was still having symptoms, in 5 days i had blisters on my finger and palms of my hands, and on the soles of my feet, the blisters lasted 1 and a half years, my hands and feet would bleed, i saw another dr and he did tell me it was because of the lipitor, till this day i am still having problems, i still have muscle aces, memory loss, i don,t think my kidney,s are as good, i fell like my body is being attacked in different places in seems to come and go about every three weeks, i will have severe headaces, this has been 3 years ago, i think it did perment damage to me, some times i wonder when i am going to die, i forget things all the time, and even forgot how to get to the dr,s office once, i even forget my grandaughter name from time, im only 52 years of age, to young to have all this problems, iam so.",foot/ankle pain,pain ankle,sore ankles,pain ankle,forget things all the time,forgetfulness
took for 30 days.,"achilles peritendonitis and sore ankles, knees and fingers.",took for 2 weeks.,ankle hurt,pain ankle,sore ankles,pain ankle,tightness in my throat,throat tightness
rt @ocd_guy: restless leg syndrome is bad tonight.  damn you fluoxetine.,restless leg syndrome,@tittuck i know it made me want to be sick every time i had it plus fluoxetine is the bigges bunch of shit ive been on worse than sertraline,restless leg syndrome,restless leg syndrome,restless leg syndrome,restless leg syndrome,want to be sick,nausea
i was on voltaren to work as an anti-inflammatory for my infection.,took for 30 days.,@kirkby007 #hcsm i start #chemo on tues b/c of #humira so i know.  it helped but it then destroyed my lungs.,sharp pain shoulder,pain,pain,pain,destroyed my lungs,lung disorder
the first day i took lipitor i couldn't sleep at night because i couldn't relax.,i have been recently diagnosed with possible early parkinson's symptoms.,so last night i kept waking up with period pain. took what i thought was ibuprofen 3 times. turned out to be seroquel. i just woke up.,shaky,tremor,tremors in right hand,tremor,just woke up,somnolence
i had diarrhea for a whole week;bad uterine cramps followed by heavy menstrual bleeding two weeks after my period.,"after 3 doses of this med over 24 hour period, my pain was better; however, i experienced severe stomach cramping and diarrhea.","after taking it for 3-4 months i had terrible pains in knee, ankle, big toe.",diarrhea,diarrhoea,diarrhea,diarrhoea,pain,pain
"memory loss, transient amnesia, severe shoulder and knee pain, insomnia, extreme tiredness,hard to get up in the am and hard to stay awake, crippling back pain, depression, loss of balance.","imence pain in legs,calf,feet,cramping in legs and feet,even toes,,armpain,swelling,extreme heaviness in limbs,backache,bloody noes, high cpk, my short term memory is terrible,confusion.","sore muscles, memory loss, insomnia.",crippling back pain,pain,imence pain in calf,pain,sore muscles,myalgia
the first day i took lipitor i couldn't sleep at night because i couldn't relax.,cold sweat,so last night i kept waking up with period pain. took what i thought was ibuprofen 3 times. turned out to be seroquel. i just woke up.,cold sweat,cold sweat,cold sweat,cold sweat,just woke up,somnolence
@liftburn it all might be due to restlessness. #seroquel did make my legs go too!!,i wonder if olanzapine causes restless legs &lt;_&lt;,"legs feel leaden, initially, lower back pain (but i've had that before), cramps in thighs, achy legs, lack of energy.",did make my legs go,restless legs,restless legs,restless legs,cramps in thighs,cramps of lower extremities
allergic reaction to #lamotrigine. feel free to share &amp; distribute. kill #bigpharma before it kills us. http://t.co/kbj5fvqpff,"@major___tom mm, i'm wary of trying new meds after a really bad reaction to fluoxetine, but i've heard a lot of good things about citalopram","@adelerosenbloom getting off seroquel (sero-kill) can cause convulsions, fever, toxic reactions, psychotic reactions. and other shit",allergic reaction,allergic reaction,reaction,allergic reaction,convulsions,convulsions
stroke like symptoms.,"swollen , burning feet and ankles.","aches and pains, breathing difficulties, panic attacks, stength and stamina destroyed, palpatations, strong tingling in one hand, some tinititis and occassional ear aches.",tingling on left arm,pins and needles,very painful pins and needles over entire foot,pins and needles,palpatations,palpitations
"@bipolarblogger yeah,  generic venlafaxine has about four different slow release formulations,  i got withdrawals from some.","@oscli you want bad withdrawl, effexor had that..evil stuff for me...never again. i strongly believe it caused some memory damage for me. :(",@inkyworld olanzapine is another anti-psychotic medication. it works on my bipolar but makes me binge eat,withdrawals,withdrawal symptom,withdrawl,withdrawal symptom,binge eat,binge eating
"@ta3fox yeah, pristiq is a different formulation or something of effexor. so similar withdrawal stuff :(",venlafaxine withdrawal is horrific,@crescentcolours that'll be the quetiapine making you drowsy. it's a common side effect xx,withdrawal,withdrawal symptom,withdrawal,withdrawal symptom,drowsy,drowsiness
"severe neck cramps, ackey leg cramps too.",i take 500mg of lamictal everyday i'm tired leave me alone,"severe leg pain and weakness, muscle cramps in legs, feet, arms, ribs, face.",tiredness,tiredness,tired,tiredness,muscle cramps in face,facial spasm
"after about 4 months of taking lipitor, one day while walking, my left leg, below the knee, experienced intense pain and stiffness.","deep depression, insomnia, joint stiffness in hands and feet, inability to think clearly to the point i thought i would have to quit my job.","after about 10 weeks on lipitor i suddenly developed pain/cramps in both my legs, the left being slightly worse than the right.","left leg, below the knee, experienced stiffness",limbs stiffness,joint stiffness in feet,limbs stiffness,cramps,muscle cramp
"rhabdomyolysis; cpk spike to 57,000 (normal range 60-190); extreme pain in thigh muscles to the point of not being able to walk.",rhabdomyolysis,"weak muscles , fatigued , high pck level , high liver enzyme , leg cramps , flared up tendenitis.",rhabdomyolysis,rhabdomyolysis,rhabdomyolysis,rhabdomyolysis,leg cramps,cramps of lower extremities
people taking #quetiapine - does this need to sleep 24/7 go eventually? cos this is not sustainable beyond the short term.,"@_katball natural don't work for me, try 300mg of seroquel...you'll sleep for days, i have insomnia that's what they give me lol","i seem to need to sleep right now. quetiapine takers, is this normal?",need to sleep 24/7,sleep excessive,sleep for days,sleep excessive,sleep right now,sleepiness
"sore muscles, memory loss, insomnia.",i was on 10 mgs. and then cut it in half for over two years.,"memory loss, transient amnesia, severe shoulder and knee pain, insomnia, extreme tiredness,hard to get up in the am and hard to stay awake, crippling back pain, depression, loss of balance.",sore muscles,myalgia,muscle aches,myalgia,crippling back pain,pain
absolutely none.,arthropathy,none for the first 5 years.,joint problems,arthropathy,joint problems,arthropathy,soreness,pain
"depression, muscle pain in shoulders, hips and feet.","imence pain in legs,calf,feet,cramping in legs and feet,even toes,,armpain,swelling,extreme heaviness in limbs,backache,bloody noes, high cpk, my short term memory is terrible,confusion.","fatigue, depression, hand and feet joint pains so very severe, dysfunctional bowel, muscle aches, no energy.",depression,depression,big time depression,depression,fatigue,fatigue
"dificulty in concentrating, short term memory problems, occasional dizziness also leg muscle soreness.","@waynedjc that's good news. you must feel a bit less stressed. btw, are you ok with diazepam and fluoxetine? take both and they space me out","extreme fatigue, short term memory loss, muscle weakness, hip pain, some cramping in toes.",dificulty in concentrating,concentration loss,space me out,concentration loss,cramping in toes,foot cramps
"nausea,extreme hunger,stomach pain, abdominal pain, vaginal bleeding,cramps.","i developed severe abdominal pains, severe welts all over my legs from feet up to knees, swelling of throat, rapid heart beat and headaches.","severe abdominal pain,bloating,gas,nauseous,constant hunger.",abdominal pain,abdominal pain,abdominal pains,abdominal pain,gas,flatulence
pains in my hip- depresion and mood swings.,"muscle aches, bumps on both sides of my stomach that looks like chicken pots, depression, forgetfullness and severe mood swings.","i have headache, muscle ache, diarrhea, indigestion, abdominal pain, back pain, eyesight has changed sinus problems, joint pain, leg cramps.",mood swings,pain in fingers,severe mood swings,pain in fingers,muscle ache,myalgia
"hip, leg,shoulder pain.",torn ham string.,"leg, arm, shoulder, and foot pain.",leg pain,pain of lower extremities,pain in both legs,pain of lower extremities,difficulty thinking,difficulty thinking
@nikkimarieeeee lucky bitch i took vyvanse today as it makes me not eat i just wanna be able to wanna eat ugh,"after taking the drug for 7 years, i've suddenly developped diarrhea, nausea, loss of apetite, stomach cramps.",@jennniff i didn't take a zopiclone in the end.. but i'm third day of no quetiapine &amp; i'm eating incredibly differently!,not eat,appetite lost,loss of apetite,appetite lost,eating incredibly differently,appetite fluctuation
"i had diarrhea, severe abdominal pain which was constant for 4 hours straight, vomiting, trembling, dizziness, nausea.",some gas & diarrhea but overall ok if taken with food.,"horrible muscle pains, horrible back spasms,spasms in leg muscles, nausea, vomiting, pain so bad that i could hardly walk or sit.",diarrhea,diarrhoea,diarrhea,diarrhoea,nausea,nausea
"muscle aches, bumps on both sides of my stomach that looks like chicken pots, depression, forgetfullness and severe mood swings.","achilles peritendonitis and sore ankles, knees and fingers.","i have headache, muscle ache, diarrhea, indigestion, abdominal pain, back pain, eyesight has changed sinus problems, joint pain, leg cramps.",severe mood swings,pain in fingers,sore fingers,pain in fingers,muscle ache,myalgia
took for 30 days.,i started experiencing severe leg cramping at night with the pain traveling to my buddocks and stomach as well.,took for 2 weeks.,pain,pain,pain,pain,tightness in my throat,throat tightness
@louiseypopssss quetiapine withdrawals.,@wielding my friends are annoying me and i'm having withdrawls from the paxil because american healthcare is a joke :(,"um yay venlafaxine set off a mixed episode. calming down now after weeks, now back to the depression of before. yay indeed",withdrawals,withdrawal symptom,withdrawls,withdrawal symptom,mixed episode,mixed manic depressive episode
i need to stop the vyvanse that shit can fuck with your head,@halfabear i had a year on prozac which ruined my creativity too - my memory now is awful - pregabalin does it but it's worth it!!!,i hate how vyvanse makes me over think everything and it makes me angry about things that i shouldn't even be angry about,fuck with your head,mental impairment,ruined my creativity,mental impairment,over think,racing thoughts
"i've been on it for 18 months and only after 15 months the muscle pain started - particularly in the glutes, calves and thighs but also in the back and neck.",scared of my #humira. keep feeling like i'm having a heart attack or panic attack. anyone else have these problems? #crohns #ra #help,"did reduce cholesterol but after 18 months suddenly developed muscle cramps and tendon pain everywhere - feet, knees, shins, thigh,hips, upper arms, shoulders, elbows, wrists, hands, tightened muscles in neck which aggravted spinal disc sysmptoms in areas where i have had problems in the past.",mild panic attack,panic attack,panic attack,panic attack,acute pain,acute pain
@ineptune_ samezies :( it's the lamictal i'm flat as a kate hudson in how to lose a guy in 10 days,flat affect,@mhchat hopefully i would love to chat or talk by skype with you and your team. i am on 1 med saphris. i lost 10 pounds 2 months ago.,flat,flat affect,flat,flat affect,lost 10 pounds,weight loss
i don't want to take my humira at all the pain is always unbearable and i don't wanna,"serious hands & feet cramping, weakness, painful inflamation of joints/knuckles and significant strength reduction.","still have pain in feet and legs, since dr made me continue this lipitor (crippling medicine from hell) & when i refused to take it the 2nd time, even though they continued to tell me that i could die if i did not take it, with my response being that i could live with agonizing pain and be disabled on this medication or possibly not die from this medication and still provide for my family by working.",pain,pain,pain,pain,foot/ankle pain,foot pain
so i took 2 vyvanse this morning..i think i'm about to have a heart attack?????,heart rate abnormal,after a mild heart attack 2 years ago i was put on 10mg of lipitor.,heart attack,heart rate abnormal,heart attack,heart rate abnormal,pain,pain
unusually fatigued in afternoon.,"bouts of extreme forgetfulness, extreme muscle pain, insomnia, tremors, cluster headaches,kidney pain, urinary problems.","weak muscles ,poor balance,very very tired can't work more than 2 hours without a nap.",fatigued,fatigue,fatigue,fatigue,weak muscles,muscle weakness
"took 1 pill with dinner, woke during the night with stomach pain.",anxiety and the feeling i was bleeding inside.,"ate a decent meal and took one pill at 4:30 pm, the 75 size, on 9/10.",bled heavily,bleeding,bleeding inside,bleeding,stomach stayed upset and painful,upset stomach
mild muscle pain and burning.,"i've been post-menopausal for five years and have now had a six day period with all the accompanying tender breasts, bloating, cramping etc",mild muscle pain.,cramps,muscle cramp,cramping,muscle cramp,mild muscle pain,myalgia
"3 rounds of puking, a nasty headache, and my throat is raw. body wants nothing to do with this increase in the geodon.",raw throat,holy shit i quit. no for real this time tho. fuck that noise. aint got time for stuffy sinuses and nicotine addiction.,throat is raw,raw throat,throat is raw,raw throat,addiction,addiction
muscle aches.,was put on lipitor 3 months ago because of high cholesteral.,muscle ache.,eye pain,eye pain,eyes hurt,eye pain,muscle ache,myalgia
"fuzzy, dizzy, light-headedness feeling i've never had before.","first i was having cramps in my fingers, which is now not apparent.","dizziness, sickness, stomach gas, feel like a bubble of air is stuck in my chest.",poor concentration,poor concentration,concentration is poor,poor concentration,sick,ill-defined disorder
severe cramps in toes.,leg cramps and pain.,severe foot pain.,tingling in toes and feet,pins and needles,tingling,pins and needles,severe foot pain,foot pain
"tiredness, some back pain.","feels like menstrual cramps, back ache, sick to stomach for 24 hours +.","severe back pain muscles pain loss of energy, depression.",back pain,backache,back ache,backache,severe back pain,pain
debilitating.,"muscle cramping, fatigue and depression.","extreme constant pain, legs, hips, fuzzy headed, muscle loss, possible permanent damage.",knotting muscles,muscle cramp,muscle cramping,muscle cramp,fuzzy headed,difficulty thinking
@_rubyrouge_ i'm reducing duloxitine (been on 6 yr) and slowly increasing m but slept 13-14 hrs solid and still feel wasted,feeling drunk,@mc_elhill @mhchat @womblegeorge #mhchat lamotrigine also causes me to have fewer hours sleep a night,feel wasted,feeling drunk,feel wasted,feeling drunk,fewer hours sleep,sleep loss
"depression,muscle pain,night sweats,lack of concentration,super dry skin.","i have muscle soreness in my left leg also my hip, pins and needles, insomnia, neck pain, now a spur in my right heel pad, weight gain, truble remembering sometimes, when i write my hand feels like it's not mine like i'm watching smeone elses hand, odd feeling that.","muscle pain and weakness, headaches, sleep disturbances.",depression,depression,depressed,depression,muscles very tight,muscle tension
"absent mindendness, trouble concentrating, blurred vision, headaches.","light headed, increased blood pressure, heart throbbing out of my chest, tingling in muscles of upper torso.","dificulty in concentrating, short term memory problems, occasional dizziness also leg muscle soreness.",headaches,headache,headaches,headache,dificulty in concentrating,concentration loss
"toe tinglingling, numbness in toes, feel like i am in a fog most of the day, memory impaired, hair loss ( major symptom for me), low grade headache, vision impaired, calf pain.","hair loss (diffuse alopecia), hair thinning.","10 mg a day of lipitor and 6 months later i have extreme leg pain in the calves after just walking a few blocks, in a brain fog with memory loss, vision is giving me problems and feel like shit all the time.",hair loss,hair loss,hair thinning,hair loss,brain fog,mental dullness
"jaw,neck, low back and hip pains.",i've been taking lipitor for three months and just had my blood tests done yesterday.,"pain in hip, lower back, knees & elbow.",numbness,numbness,numbness,numbness,pain in lower back,low back pain
i only used it 3x but developed kidney pain each time and elevated bp.,"started having a severe sudden onset headache in the back of head, resulted in trip to dr, bp was extrememly high, and pulse was high as well, after three shots, and 3 clonidine to bring down bp was recommend to visit er.","after 3 doses of this med over 24 hour period, my pain was better; however, i experienced severe stomach cramping and diarrhea.",my heart rate jumped to 106,tachycardia,tachycardia,tachycardia,diarrhea,diarrhoea
"extreme constant pain, legs, hips, fuzzy headed, muscle loss, possible permanent damage.",9/20/05.,"constant aching/pain and weakness in arms, wrists, back of hands and shoulders.",fuzzy headed,difficulty thinking,blurred thinking,difficulty thinking,aggitation,agitated
"lipitor works fine for lowering cholesterol, but the side effects are killers, apparently.","dizzyness, coninuing and increasing weakness (especially legs), aches & pains, loss of coherent thought, memory loss, wildly varying blood pressure, syptoms similar to tia's.","i have been on lipitor for over a year and it did lower my cholesterol from 299 to 220, but i, too, have been having side effects, i guess now, that might be attributed to lipitor.",weakness,asthenia,weakness,asthenia,arms are always falling asleep,numbness of limbs
"aches and pains, breathing difficulties, panic attacks, stength and stamina destroyed, palpatations, strong tingling in one hand, some tinititis and occassional ear aches.",otalgia,"muscle/joint pains, gastric upsets, insomnia, memory loss, anxiety, frozen shoulder .",ear aches,otalgia,ear aches,otalgia,muscle pains,myalgia
"started taking lipitor 20mg in feb '08; in sept '10 experienced stiff, achy joints around shoulders/arms, hips and achilles tendons.",all and some not noted - kidney-metal moods-anzity-sugar level drops - stomach ulcer-joint pain- memory trouble- put on more meds- lipitor admited to giving kidney troubles to me -i took other s with same troubles and more.,"did reduce cholesterol but after 18 months suddenly developed muscle cramps and tendon pain everywhere - feet, knees, shins, thigh,hips, upper arms, shoulders, elbows, wrists, hands, tightened muscles in neck which aggravted spinal disc sysmptoms in areas where i have had problems in the past.",achy joints,arthralgia,joint pain,arthralgia,acute pain,acute pain
extreme muscle pain.,severe muscle pain.,muscle pain.,extreme muscle pain,myalgia,muscle pain,myalgia,severe joint pain in the shoulders,pain
"deppression ,weakness, fatigue, muscle pain and stiffness in neck,numbness and tingling in extremeties,gas ,bloating indegestion,stuffy nose,plugged ears,lack of balance and cooridination,kidney stone,bronchitis, increased cough, abdominal hematoma from bleeding in my abdomen after coughing and rupturing a blood vessel.",after only 2 1/2 weeks on lipitor i could feel that something was not right in my body.,"headache, chestpain, arrythmia, diarrhea, malaisse, forgetfulness, confusion, back pain and after 1 month a worrisome case of phlebitis(every superficial vein in my one leg is bulging) my veins hurt, severe leg cramps, numbness in ankles and toes.",dark urine,urine colour abnormal,dark urine,urine colour abnormal,headache,headache
"experiencing fatigue, lightheaded and weakness.","other than mild flatulance and things of this nature, i did not connect lipitor to the terrible low back pain i have had for about 5 months.","severe depression, anxiety, sore joints, sore back, lack of energy.",back pain,backache,back pain,backache,severe depression,depression
i experienced tighening of the chest and leg cramps.,extreme tummy bloating.,i had muscle cramps and muscle pain.,tighening of the chest,tight chest,tight chest,tight chest,muscle pain,myalgia
"muscle/joint pains, gastric upsets, insomnia, memory loss, anxiety, frozen shoulder .",severe headaches.,"muscle spasms and pain, joint pain, headaches, memory loss, skin rash, depression, insomnia.",memory loss,amnesia,memory loss,amnesia,skin rash,rash
severe pain in both calfs and thighs.,"severe back pain muscles pain loss of energy, depression.","joint pain, severe muscle pain - especially in lower calfs of both legs.",myalgia,myalgia,muscles pain,myalgia,hard time walking,walking difficulty
"extreme pain in shoulders, loss of memory.",@thebeachynurse ...had to get an x-ray of my arm per protocol...it was negative but it's just now starting to hurt. ugh!!!!  #geodon,"terrible neck pain, memory loss is just terrible.",extreme pain in shoulders,pain,hurt,pain,neck pain,neck pain
"leg calf cramps, eyes feeling of pressure or spaced out feeling.","i started to take 20 mg lipitor in august 2006, after 6 months, i reduced to take 10 mg, and after another 6 months, i reduced the lipitor intake to 5 mg.",leg cramps.,couldnt remember anything,memory impairment,lost some memory,memory impairment,leg cramps,cramps of lower extremities
"?@kendallmarieem: i'm sleepless, you've got me wide awake? my song to vyvanse and mdma","@neph0079@positiveaboutms i take baclofen ""can't sleep! want to sleep!"" help!",my seroquel this morning got me lethargic,sleepless,sleep loss,can't sleep,sleep loss,lethargic,lethargic
@obsidianvormund was on seroquel for years in my teens &amp; stopped taking it. a 'quack' doc put me back on it &amp; i gained 50 in 3 months.,@missynomatter i was on quetiapine and gained 40lbs &lt;wall&gt; so i am not even trying olanzapine. they gave me abilify cause it not supposed to,i took this drug a few years ago and went off it because my hair started thinning.,gained 50,weight gain,gained 40lbs,weight gain,nervous,nervousness
cramping aching muscles in legs and back.,"depression, anxiety, spaced-out feeling, lack of concentration, insomnia.","muscle tightness, cramping in legs and back.",unable to concentrate,concentration ability impaired,lack of concentration,concentration ability impaired,felt like i had the flu,influenza like illness
"10 mg a day of lipitor and 6 months later i have extreme leg pain in the calves after just walking a few blocks, in a brain fog with memory loss, vision is giving me problems and feel like shit all the time.",severe overall body pain in every joint and muscle from my neck down to my big toes.,"migrane headaches, very very blurry vision, at times felt like i'm going blind, severe muscle pain and dizziness.",brain fog,mental dullness,foggy brain,mental dullness,very very blurry vision,blurred vision
"extreme fatigue, short term memory loss, muscle weakness, hip pain, some cramping in toes.","heaviness in the legs, foot and leg cramps at night and even long muscles beside spine, those are the worst.","muscle fatigue, memory loss, cramping, cold extremities, shortness of breath, general fatigue, joint and muscle pain, inability to sleep and induced depression.",cramping in toes,foot cramps,foot and leg cramps,foot cramps,muscle pain,myalgia
had muscle pain in my back (primarily small of my back) and down my leg.,"severe back pain muscles pain loss of energy, depression.","extreme lower back pain, pain in neck and shoulders, calf cramping, red bumps on my skin.",muscle pain,myalgia,muscles pain,myalgia,pain in neck and shoulders,neck pain
@mannypresh602 word. i've been fuckin tweakin out on vyvanse and writing hella verses,popped a vyvanse i'm tweaking. whoop,@rowlegendary r u on any meds? my dreams on seroquel are fucked up,tweakin out,feeling stoned,tweaking,feeling stoned,dreams,abnormal dreams
"headache, dizziness.",dizzy.,"stomach pain,dizzy spells,hairloss,fatigue,dry eyes, joint pain.",dizziness,dizziness,dizzy,dizziness,fatigue,fatigue
"@notquitereal yeah, i mean, fluoxetine made me feel like shit, and citalopram makes me feel ace, so worth considering if you ever have to",@inkyworld why i came off it. gp told me its not dangerous but it is damn unpleasant. at least i know it's the quetiapine that's causing it,@tittuck i know it made me want to be sick every time i had it plus fluoxetine is the bigges bunch of shit ive been on worse than sertraline,feel like shit,feeling unwell,not dangerous but it is damn unpleasant,feeling unwell,want to be sick,nausea
20.12 day 15 rivaroxaban diary. haven't yet taken today's tablet. will when i eat. still intense lower back pain from yesterday's tablet.,"02.20 day 19 rivaroxaban diary woken up with pains in head, neck, back, hip and legs. seeing doc in 7 hours. no way am i continuin with rvxn",19.32 day 20 rivaroxaban diary. still residual aches and pains; only had 4 paracetamol today.,back pain,back pain,back,back pain,pains,pain
brain fog and decreased cognitive skills.,"very sore and achy joints, especially ankles and knees.","extended periods of low mood, loss of self-confidence, loss of interest in life etc also brain fog & impaired memory.",brain fog,mental dullness,foggy,mental dullness,loss of self-confidence,loss of confidence
severe pain in my calf muscles in my legs started about 7 months after taking the drug.,the last two years i have had severe pain in my feet and legs with a definite decrease in muscle strength.,"after about 4 months of taking lipitor, one day while walking, my left leg, below the knee, experienced intense pain and stiffness.",pain,pain,severe pain in my feet,pain,"left leg, below the knee, experienced stiffness",limbs stiffness
"due to bad family history and some early calcification, taking 10 mg at bed time quickly lowered total cholesterol to new target well under 200.",two days after starting the lipitor i felt like my insides were vibrating.,greatly reduced cholesterol levels.,pains,pain,constant pain,pain,joint pain in legs,arthralgia
i have had several boughts of severe muscle cramps that lead to dehydration.,unusually fatigued in afternoon.,"i have been on this medication for approximately two years and it has been very affective in lowering my cholesterol; however, i did notice that i became depressed with intermittent muscle pain.",fatigue,fatigue,fatigued,fatigue,depressed,depression
