,ade,definition
2893,"killing""  my tummy",    slang for a paunch
2894,severe arrythmias, intensely or extremely bad or unpleasant in degree or quality 
2895,disabled, people collectively who are crippled or otherwise physically handicapped
2896,severe leg muscle pain, intensely or extremely bad or unpleasant in degree or quality a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle one of the contractile organs of the body a symptom of some physical hurt or disorder
2897,myopathies, any pathology of the muscles that is not attributable to nerve dysfunction
2898,forgetfullness, 
2899,tolerant, showing respect for the rights or opinions or practices of others
2900,tension in my nerves, (psychology) a state of mental or emotional strain or suspense a unit of length equal to one twelfth of a foot  an uneasy psychological state
2901,acute pancreatic attack, a mark (') placed above a vowel to indicate pronunciation of or involving the pancreas (military) an offensive against an enemy (using weapons)
2902,frequent headaches, do one's shopping at; do business with; be a customer or client of something or someone that causes anxiety; a source of unhappiness
2903,lips started to swell, either of two fleshy folds of tissue that surround the mouth and play a role in speaking take the first step or steps in carrying out an action  the undulating movement of the surface of the open sea
2904,myopathy, any pathology of the muscles that is not attributable to nerve dysfunction
2905,scabs, someone who works (or provides workers) during a strike
2906,flu-like syptoms,  
2907,major gastrointestinal problems, a commissioned military officer in the United States Army or Air Force or Marines; below lieutenant colonel and above captain of or relating to the stomach and intestines a state of difficulty that needs to be resolved
2908,hair is getting very thin," a covering for the body (or parts of it) consisting of a dense growth of threadlike structures (as on the human head); helps to prevent heat loss have the quality of being; (copula, used with an adjective or a predicate noun) the act of acquiring something precisely as stated lose thickness; become thin or thinner"
2909,bleeding problems, the flow of blood from a ruptured blood vessel a state of difficulty that needs to be resolved
2910,sciatica, neuralgia along the sciatic nerve
2911,5-6 times at night to pee; normally 1 or 2,  a more or less definite period of time now or previously present a highly unstable radioactive element (the heaviest of the halogen series); a decay product of uranium and thorium the time after sunset and before sunrise while it is dark outside   under normal conditions the smallest whole number or a numeral representing this number a state in northwestern United States on the Pacific the cardinal number that is the sum of one and one or a numeral representing this number
2912,muscle pain in upper back, one of the contractile organs of the body a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the higher of two berths the posterior part of a human (or animal) body from the neck to the end of the spine
2913,itchiness, an irritating cutaneous sensation that produces a desire to scratch
2914,memory confusion, something that is remembered disorder resulting from a failure to behave predictably
2915,affecting my kidneys, have an effect upon  either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine
2916,charley horses,  solid-hoofed herbivorous quadruped domesticated since prehistoric times
2917,neck was red, the part of an organism (human or animal) that connects the head to the rest of the body a state in northwestern United States on the Pacific red color or pigment; the chromatic color resembling the hue of blood
2918,after-sting, 
2919,paralysis, loss of the ability to move a body part
2920,loss of muscle mass in arms, something that is lost  one of the contractile organs of the body the property of a body that causes it to have weight in a gravitational field a unit of length equal to one twelfth of a foot weapons considered collectively
2921,electric shocks in your brain, a car that is powered by electricity the feeling of distress and disbelief that you have when something bad happens accidentally a unit of length equal to one twelfth of a foot  that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord
2922,sight gets tired, an instance of visual perception a return on a shot that seemed impossible to reach and would normally have resulted in a point for the opponent lose interest or become bored with something or somebody
2923,extreme anxiety," the furthest or highest degree of something (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic"
2924,muscle disintegration/degeneration, one of the contractile organs of the body 
2925,severe diarrhea, intensely or extremely bad or unpleasant in degree or quality frequent and watery bowel movements; can be a symptom of infection or food poisoning or colitis or a gastrointestinal tumor
2926,finger stiffness, any of the terminal members of the hand (sometimes excepting the thumb) the physical property of being inflexible and hard to bend
2927,loss of circulation , something that is lost  the dissemination of copies of periodicals (as newspapers or magazines)
2928,itchy skin , nervous and unable to relax a natural protective body covering and site of the sense of touch
2929,constant twitching, a quantity that does not vary a sudden muscle spasm; especially one caused by a nervous condition
2930,weak & wobbley knees, wanting in physical strength   hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
2931,severe urinary tract infections, intensely or extremely bad or unpleasant in degree or quality of or relating to the function or production or secretion of urine an extended area of land the pathological state resulting from the invasion of the body by pathogenic microorganisms
2932,right knee swelled," an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away"" hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella increase in size, magnitude, number, or intensity"
2933,hurts, any physical damage to the body caused by violence or accident or fracture etc.
2934,muscle inflamation, one of the contractile organs of the body 
2935,feel sooooooo weird, an intuitive awareness;   fate personified; any one of the three Weird Sisters
2936,can't walk,  the act of traveling by foot
2937,barely keep my eyes open, only a very short time before the financial means whereby one lives  opinion or judgment a clear or unobstructed space or expanse of land or water
2938,sedative, a drug that reduces excitability and calms a person
2939,absentminded, lost in thought; showing preoccupation
2940,spasms in my back, a painful and involuntary muscular contraction a unit of length equal to one twelfth of a foot  the posterior part of a human (or animal) body from the neck to the end of the spine
2941,oww, 
2942,mild nausea, moderate in type or degree or effect or force; far from extreme the state that precedes vomiting
2943,thinning at the back and sides of my head, the act of diluting something a highly unstable radioactive element (the heaviest of the halogen series); a decay product of uranium and thorium  the posterior part of a human (or animal) body from the neck to the end of the spine  a place within a region identified relative to a center or reference location   the upper part of the human body or the front part of the body in animals; contains the face and brains
2944,throat tightness, the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone a state occasioned by scarcity of money and a shortage of credit
2945,staying up all night, stay the same; remain in a certain state raise quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class the time after sunset and before sunrise while it is dark outside
2946,lonliness, 
2947,terrible bloating, causing fear or dread or terror become bloated or swollen or puff up
2948,severe b/l shoulder pain, intensely or extremely bad or unpleasant in degree or quality  the part of the body between the neck and the upper arm a symptom of some physical hurt or disorder
2949,pain throughout my body," a symptom of some physical hurt or disorder from first to last  the entire structure of an organism (an animal, plant, or human being)"
2950,faintness, a feeling of faintness and of being ready to swoon
2951,severe pain in left leg, intensely or extremely bad or unpleasant in degree or quality a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot location near or direction toward the left side; i.e. the side to the north when a person or object faces east a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
2952,thighs muscle pain in the, the part of the leg between the hip and the knee one of the contractile organs of the body a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot 
2953,numbness in my shoulder, partial or total lack of sensation in a part of the body; a symptom of nerve damage or dysfunction a unit of length equal to one twelfth of a foot  the part of the body between the neck and the upper arm
2954,lost muscular strength, people who are destined to die soon of or relating to or consisting of muscle the property of being physically or mentally strong
2955,burning sensations in legs, the act of burning something an unelaborated elementary awareness of stimulation a unit of length equal to one twelfth of a foot staying power
2956,loss of short term memory, something that is lost  the location on a baseball field where the shortstop is stationed a word or expression used for some particular thing something that is remembered
2957,diahhrea, 
2958,felt very unwell, a fabric made of compressed matted animal fibers precisely as stated somewhat ill or prone to illness
2959,heat stress, a form of energy that is transferred by a difference in temperature the relative prominence of a syllable or musical note (especially with regard to stress or pitch)
2960,perforated ulcer," make a hole into or between, as for ease of separation a circumscribed inflammatory and often suppurating lesion on the skin or an internal mucous surface resulting in necrosis of tissue"
2961,couldnt walk,  the act of traveling by foot
2962,constipitation, 
2963,spasm, a painful and involuntary muscular contraction
2964,only let me sleep four hours, being the only one; single and isolated from others a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India a state in New England a natural and periodic state of rest during which consciousness of the world is suspended the cardinal number that is the sum of three and one a period of time assigned for work
2965,upset stomache, an unhappy and worried mental state 
2966,muscle aches in legs, one of the contractile organs of the body a dull persistent (usually moderately intense) pain a unit of length equal to one twelfth of a foot staying power
2967,minor joint soreness, a young person of either sex (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) a pain that is felt (as when the area is touched)
2968,shivers, a reflex motion caused by cold or fear or excitement
2969,sinuses close up, an abnormal passage leading from a suppurating cavity to the body surface the temporal end; the concluding time raise
2970,tingling in arms, a somatic sensation as from many tiny prickles a unit of length equal to one twelfth of a foot weapons considered collectively
2971,mixed episode, mix together different elements a happening that is distinctive in a series of related events
2972,edema," swelling from excessive accumulation of watery fluid in cells, tissues, or serous cavities"
2973,gall bladder disease, an open sore on the back of a horse caused by ill-fitting or badly adjusted saddle a distensible membranous sac (usually containing liquid or gas) an impairment of health or a condition of abnormal functioning
2974,severe myalgia, intensely or extremely bad or unpleasant in degree or quality pain in a muscle or group of muscles
2975,constant pain shoulders, a quantity that does not vary a symptom of some physical hurt or disorder the part of the body between the neck and the upper arm
2976,liver enzymes to rise, large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes any of several complex proteins that are produced by cells and act as catalysts in specific biochemical reactions  a growth in strength or number or importance
2977,food cravings, any substance that can be metabolized by an animal to give energy and build tissue an intense desire for some particular thing
2978,hammer toe, the part of a gunlock that strikes the percussion cap when the trigger is pulled one of the digits of the foot
2979,nap time, a period of time spent sleeping an instance or single occasion for some event
2980,muscle dmaage, one of the contractile organs of the body 
2981,very poor appetite, precisely as stated people without possessions or wealth (considered as a group) a feeling of craving something
2982,cramping of the calf muscles, secure with a cramp   young of domestic cattle one of the contractile organs of the body
2983,swollen lower legs," increase in size, magnitude, number, or intensity the lower of two berths staying power"
2984,tingly hands,  (with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
2985,mood, a characteristic (habitual or relatively temporary) state of feeling
2986,severe muscle spasms in my legs, intensely or extremely bad or unpleasant in degree or quality one of the contractile organs of the body a painful and involuntary muscular contraction a unit of length equal to one twelfth of a foot  staying power
2987,tmj, 
2988,loss of support in all muscels in particular calf and leg, something that is lost  the activity of providing for or maintaining by supplying with money or necessities a unit of length equal to one twelfth of a foot quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class  a unit of length equal to one twelfth of a foot a fact about some part (as opposed to general) young of domestic cattle  a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle
2989,speech difficulties like pronunciation, the act of delivering a formal spoken communication to an audience an effort that is inconvenient a similar kind the manner in which someone utters a word
2990,night terrors, the time after sunset and before sunrise while it is dark outside an overwhelming feeling of fear and anxiety
2991,very bad pains in shoulders, precisely as stated that which is below standard or expectations as of ethics or decency an effortful attempt to attain a goal a unit of length equal to one twelfth of a foot the part of the body between the neck and the upper arm
2992,working any more," a mine or quarry that is being or has been worked one or some or every or all without specification English statesman who opposed Henry VIII's divorce from Catherine of Aragon and was imprisoned and beheaded; recalled for his concept of Utopia, the ideal state"
2993,wheezing, breathe with difficulty
2994,tremendous neck pain," extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman the part of an organism (human or animal) that connects the head to the rest of the body a symptom of some physical hurt or disorder"
2995,severe (burning) pain in left hand, intensely or extremely bad or unpleasant in degree or quality  a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot location near or direction toward the left side; i.e. the side to the north when a person or object faces east the (prehensile) extremity of the superior limb
2996,neck stiffness, the part of an organism (human or animal) that connects the head to the rest of the body the physical property of being inflexible and hard to bend
2997,felt like shin splints, a fabric made of compressed matted animal fibers a similar kind the front part of the human leg between the knee and the ankle a thin sliver of wood
2998,urinery tract infection,  an extended area of land the pathological state resulting from the invasion of the body by pathogenic microorganisms
2999,bone pain, rigid connective tissue that makes up the skeleton of vertebrates a symptom of some physical hurt or disorder
3000,charlie horse in my calves,  solid-hoofed herbivorous quadruped domesticated since prehistoric times a unit of length equal to one twelfth of a foot  young of domestic cattle
3001, burns,  United States comedian and film actor (1896-1996)
3002,low back pains, an air mass of lower pressure; often brings precipitation the posterior part of a human (or animal) body from the neck to the end of the spine an effortful attempt to attain a goal
3003,dysphagia, condition in which swallowing is difficult or painful
3004,kidney function became a problem, either of two bean-shaped excretory organs that filter wastes (especially urea) from the blood and excrete them and water in urine (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function) enter or assume a certain state or condition a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation a state of difficulty that needs to be resolved
3005,interfering with my visions, come between so as to be hindrance or obstacle   a vivid mental image
3006,hdl dropped, a lipoprotein that transports cholesterol in the blood; composed of a high proportion of protein and relatively little cholesterol; high levels are thought to be associated with decreased risk of coronary heart disease and atherosclerosis let fall to the ground
3007,equivalent to torture, a person or thing equal to another in value or measure or force or effect or significance etc  extreme mental distress
3008,burning in legs, the act of burning something a unit of length equal to one twelfth of a foot staying power
3009,zombieish, 
3010,couldn't remember who i had dinner with last night,"  recall knowledge from memory; have a recollection a United Nations agency to coordinate international health activities and to help governments improve health services a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks) have or possess, either in a concrete or an abstract sense the main meal of the day served in the evening or at midday  the temporal end; the concluding time the time after sunset and before sunrise while it is dark outside"
3011,nosebleeds, bleeding from the nose
3012,irratibility, 
3013,severe tintitinitis (ringing in ears), intensely or extremely bad or unpleasant in degree or quality   a unit of length equal to one twelfth of a foot 
3014,loss of range of motion," something that is lost  an area in which something acts or operates or has power or control: ""the range of a supersonic jet""  the use of movements (especially of the hands) to communicate familiar or prearranged signals"
3015,arthritic knees, a person afflicted with arthritis hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
3016,plugged ears, fill or close tightly with or as if with a plug the sense organ for hearing and equilibrium
3017,sharp pain shoulder, a musical notation indicating one half step higher than the note named a symptom of some physical hurt or disorder the part of the body between the neck and the upper arm
3018,loss of any sex drive, something that is lost  one or some or every or all without specification activities associated with sexual intercourse the act of applying force to propel something
3019,back labor pains, the posterior part of a human (or animal) body from the neck to the end of the spine a social class comprising those who do manual labor or work for wages an effortful attempt to attain a goal
3020,scared, cause fear in
3021,oedema," swelling from excessive accumulation of watery fluid in cells, tissues, or serous cavities"
3022,excess gas, a quantity much larger than is needed the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container
3023,decreased sense of smell," decrease in size, extent, or range a general conscious awareness  the sensation that results when olfactory receptors in the nose are stimulated by particular chemicals in gaseous form"
3024,libido, (psychoanalysis) a Freudian term for sexual urge or desire
3025,windy, abounding in or exposed to the wind or breezes
3026,severe muscle pain in shoulders, intensely or extremely bad or unpleasant in degree or quality one of the contractile organs of the body a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the part of the body between the neck and the upper arm
3027,short attention span, the location on a baseball field where the shortstop is stationed the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others the complete duration of something
3028,tendonitis in my knees, inflammation of a tendon a unit of length equal to one twelfth of a foot  hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
3029,veins, a blood vessel that carries blood from the capillaries toward the heart
3030,come too fast, the thick white fluid containing spermatozoa that is ejaculated by the male genital tract to a degree exceeding normal or proper limits abstaining from food
3031,charley horses in shoulders,  solid-hoofed herbivorous quadruped domesticated since prehistoric times a unit of length equal to one twelfth of a foot the part of the body between the neck and the upper arm
3032,weakened muscle, lessen the strength of one of the contractile organs of the body
3033,sleep for dayyssss, a natural and periodic state of rest during which consciousness of the world is suspended  
3034,strange poisen-ivy like rash on chest and breast, being definitely out of the ordinary and unexpected; slightly odd or even a bit weird  a similar kind any red eruption of the skin in operation or operational the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates  the front of the trunk from the neck to the abdomen
3035,forciblynocturnal, 
3036,moving in bed is painful," change location; move, travel, or proceed, also metaphorically a unit of length equal to one twelfth of a foot a piece of furniture that provides a place to sleep have the quality of being; (copula, used with an adjective or a predicate noun) causing physical or psychological pain"
3037,severn leg cramps, a river in Ontario that flows northeast into Hudson Bay a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle a painful and involuntary muscular contraction
3038,painful inflamation of knuckles, causing physical or psychological pain   a small metal weapon; worn over the knuckles on the back of the hand
3039,increased fatigue, become bigger or greater in amount temporary loss of strength and energy resulting from hard physical or mental work
3040,sucked going from 100mg desvenlafaxine / day to zero, draw into the mouth by creating a practical vacuum in the mouth the act of departing     time for Earth to make a complete rotation on its axis  a quantity of no importance
3041,muscles weak, one of the contractile organs of the body wanting in physical strength
3042,balance off, a state of equilibrium kill intentionally and with premeditation
3043,aching knees, a dull persistent (usually moderately intense) pain hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
3044,unable to focus, (usually followed by `to') not having the necessary means or skill or know-how  the concentration of attention or energy on something
3045,teamnosleep, 
3046,deep pain- like gas pains, the central and most intense or profound part  a similar kind the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container an effortful attempt to attain a goal
3047,collitis, 
3048,itching all over, an irritating cutaneous sensation that produces a desire to scratch quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class (cricket) the division of play during which six balls are bowled at the batsman by one player from the other team from the same end of the pitch
3049,feels like my joints don't want to work, an intuitive awareness;  a similar kind  (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion)  a state of extreme poverty  activity directed toward making or doing something
3050,terrible abdominal pain, causing fear or dread or terror the muscles of the abdomen a symptom of some physical hurt or disorder
3051,slept horribly, be asleep of a dreadful kind
3052,tachycardia, abnormally rapid heartbeat (over 100 beats per minute)
3053,muscule pain,  a symptom of some physical hurt or disorder
3054,back problems, the posterior part of a human (or animal) body from the neck to the end of the spine a state of difficulty that needs to be resolved
3055,vivid dreams, evoking lifelike images within the mind a series of mental images and emotions occurring during sleep
3056,hard time sleeping, not easy; requiring great physical or mental effort to accomplish or comprehend or endure an instance or single occasion for some event the state of being asleep
3057,plot to steal my thoughts, a secret scheme to do something (especially something underhand or illegal)  an advantageous purchase  the content of cognition; the main thing you are thinking about
3058,tinninitus, 
3059,blisterey rash on my legs,  any red eruption of the skin in operation or operational  staying power
3060,in forearms tightness, a unit of length equal to one twelfth of a foot the part of the superior limb between the elbow and the wrist a state occasioned by scarcity of money and a shortage of credit
3061,pain in calf muscle, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot young of domestic cattle one of the contractile organs of the body
3062,burning in back of neck, the act of burning something a unit of length equal to one twelfth of a foot the posterior part of a human (or animal) body from the neck to the end of the spine  the part of an organism (human or animal) that connects the head to the rest of the body
3063,severe mood swings, intensely or extremely bad or unpleasant in degree or quality a characteristic (habitual or relatively temporary) state of feeling a state of steady vigorous action that is characteristic of an activity
3064,little gas, a small amount or duration the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container
3065,brain cancer, that part of the central nervous system that includes all the higher nervous centers; enclosed within the skull; continuous with the spinal cord any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream
3066,eating, the act of consuming food
3067,legs just ached, staying power used especially of what is legally or ethically right or proper or fitting feel physical pain
3068,body swelling," the entire structure of an organism (an animal, plant, or human being) an abnormal protuberance or localized enlargement"
3069,psychotic episode, a person afflicted with psychosis a happening that is distinctive in a series of related events
3070,debillitating leg pain,  a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle a symptom of some physical hurt or disorder
3071,pins and needles on right arm," a piece of jewelry that is pinned onto the wearer's garment  the leaf of a conifer in operation or operational an abstract idea of that which is due to a person or governmental body by law or tradition or nature; it is something that nobody can take away"" a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb"
3072,face looks puffy, the front of the human head from the forehead to the chin and ear to ear the feelings expressed on a person's face being puffed out; used of hair style or clothing
3073,can't eat,  take in solid food
3074,feelin weird,  fate personified; any one of the three Weird Sisters
3075,not let me sleep, negation of a word or group of words a brutal terrorist group active in Kashmir; fights against India with the goal of restoring Islamic rule of India a state in New England a natural and periodic state of rest during which consciousness of the world is suspended
3076,terrible headaches, causing fear or dread or terror something or someone that causes anxiety; a source of unhappiness
3077,mild cramping, moderate in type or degree or effect or force; far from extreme secure with a cramp
3078,stomach gas and intense pain, an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion the state of matter distinguished from the solid and liquid states by: relatively low density and viscosity; relatively great expansion and contraction with changes in pressure and temperature; the ability to diffuse readily; and the spontaneous tendency to become distributed uniformly throughout any container  possessing or displaying a distinctive feature to a heightened degree a symptom of some physical hurt or disorder
3079,body ached," the entire structure of an organism (an animal, plant, or human being) feel physical pain"
3080,aches and stiffness knees, a dull persistent (usually moderately intense) pain  the physical property of being inflexible and hard to bend hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
3081,sleeping, the state of being asleep
3082,could barely move,  only a very short time before the act of deciding to do something
3083,never sleeping, not ever; at no time in the past or future the state of being asleep
3084,significant weight gain, important in effect or meaning the vertical force exerted by a mass as a result of gravity a quantity that is added
3085,worst pain i have ever experienced, the least favorable outcome a symptom of some physical hurt or disorder a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks) a person who possesses great material wealth at any time go or live through
3086,heels, the bottom of a shoe or boot; the back part of a shoe or boot that touches the ground and provides elevation
3087,feel like you're on your death bed, an intuitive awareness;  a similar kind  in operation or operational  the event of dying or departure from life a piece of furniture that provides a place to sleep
3088,"dry,itchy skin",  a natural protective body covering and site of the sense of touch
3089,pain muscle, a symptom of some physical hurt or disorder one of the contractile organs of the body
3090,enlarged liver, make larger large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes
3091,slept 10 hrs, be asleep the cardinal number that is the sum of nine and one; the base of the decimal system a period of time equal to 1/24th of a day
3092,jolting, move or cause to move with a sudden jerky motion
3093,achilles tendon tightness, a mythical Greek hero of the Iliad; a foremost Greek warrior at the siege of Troy; when he was a baby his mother tried to make him immortal by bathing him in a magical river but the heel by which she held him remained vulnerable--his `Achilles' heel' a cord or band of inelastic tissue connecting a muscle with its bony attachment a state occasioned by scarcity of money and a shortage of credit
3094,sleeping my life away, the state of being asleep  a characteristic state or mode of living not present; having left
3095,cant keep still, stock phrases that have become nonsense through endless repetition the financial means whereby one lives a static photograph (especially one taken from a movie and used for advertising purposes)
3096,lung , either of two saclike respiratory organs in the chest of vertebrates; serves to remove carbon dioxide and provide oxygen to the blood
3097,swelling hands, an abnormal protuberance or localized enlargement (with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child
3098,severe irregular heartbeat, intensely or extremely bad or unpleasant in degree or quality a member of an irregular armed force that fights a stronger force by sabotage and harassment the rhythmic contraction and expansion of the arteries with each beat of the heart
3099,higher blood sugars," advanced in complexity or elaboration the fluid (red in vertebrates) that is pumped through the body by the heart and contains plasma, blood cells, and platelets a white crystalline carbohydrate used as a sweetener and preservative"
3100,eyes running, opinion or judgment (American football) a play in which a player attempts to carry the ball through or past the opposing team
3101,almost killed me," (of actions or states) slightly short of or not quite accomplished; all but cause to die; put to death, usually intentionally or knowingly a state in New England"
3102,calf pain, young of domestic cattle a symptom of some physical hurt or disorder
3103,pain traveling to my stomach, a symptom of some physical hurt or disorder the act of going from one place to another   an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion
3104,tightness in throat with occasional choking problem, a state occasioned by scarcity of money and a shortage of credit a unit of length equal to one twelfth of a foot the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone  occurring from time to time a condition caused by blocking the airways to the lungs (as with food or swelling of the larynx) a state of difficulty that needs to be resolved
3105,constant itching, a quantity that does not vary an irritating cutaneous sensation that produces a desire to scratch
3106,decrease in muscle strength, a change downward a unit of length equal to one twelfth of a foot one of the contractile organs of the body the property of being physically or mentally strong
3107,sleep is not very sound," a natural and periodic state of rest during which consciousness of the world is suspended have the quality of being; (copula, used with an adjective or a predicate noun) negation of a word or group of words precisely as stated the particular auditory effect produced by a given cause"
3108,swollen foot," increase in size, magnitude, number, or intensity the part of the leg of a human being below the ankle joint"
3109,arm stiffness, a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb the physical property of being inflexible and hard to bend
3110,leg muscles painful to light pressure, a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle one of the contractile organs of the body causing physical or psychological pain  (physics) electromagnetic radiation that can produce a visual sensation the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit)
3111,legs feel leaden, staying power an intuitive awareness;  darkened with overcast
3112,stomach hurt, an enlarged and muscular saclike organ of the alimentary canal; the principal organ of digestion any physical damage to the body caused by violence or accident or fracture etc.
3113,joint pain in the knees, (anatomy) the point of connection between two bones or elements of a skeleton (especially if it allows motion) a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot  hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
3114,just wanted to sleep, used especially of what is legally or ethically right or proper or fitting feel or have a desire for; want strongly  a natural and periodic state of rest during which consciousness of the world is suspended
3115,ill, an often persistent bodily disorder or disease; a cause for complaining
3116,feeling tired a lot, the experiencing of affective and emotional states lose interest or become bored with something or somebody a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation (often followed by `of') a large number or amount or extent
3117,muscle aches in thighs, one of the contractile organs of the body a dull persistent (usually moderately intense) pain a unit of length equal to one twelfth of a foot the part of the leg between the hip and the knee
3118,restricted movement, place restrictions on a change of position that does not entail a change of location
3119,pain in throat, a symptom of some physical hurt or disorder a unit of length equal to one twelfth of a foot the passage to the stomach and lungs; in the front part of the neck below the chin and above the collarbone
3120,permanent liver damage, a series of waves in the hair made by applying heat and chemicals large and complicated reddish-brown glandular organ located in the upper right portion of the abdominal cavity; secretes bile and functions in metabolism of protein and carbohydrate and fat; synthesizes substances involved in the clotting of the blood; synthesizes vitamin A; detoxifies poisonous substances and breaks down worn-out erythrocytes the occurrence of a change for the worse
3121,tingling on left arm, a somatic sensation as from many tiny prickles in operation or operational location near or direction toward the left side; i.e. the side to the north when a person or object faces east a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb
3122,cravings , an intense desire for some particular thing
3123,swollen hands," increase in size, magnitude, number, or intensity (with `in') guardianship over; in divorce cases it is the right to house and care for and discipline a child"
3124,overall misery, (usually plural) work clothing consisting of denim trousers (usually with a bib and shoulder straps) a state of ill-being due to affliction or misfortune
3125,knocks me out, the sound of knocking (as on a door or in an engine or bearing) a state in New England (baseball) a failure by a batter or runner to reach a base safely in baseball
3126,after sting, located farther aft a kind of pain; something as sudden and painful as being stung
3127,severe leg muscle cramps, intensely or extremely bad or unpleasant in degree or quality a human limb; commonly used to refer to a whole limb but technically only the part of the limb between the knee and ankle one of the contractile organs of the body a painful and involuntary muscular contraction
3128,elevated crp, a railway that is powered by electricity and that runs on a track that is raised above the street level a byproduct of inflammation; a globulin that is found in the blood in some cases of acute inflammation
3129,palpitate, cause to throb or beat rapidly
3130,gastic upset,  an unhappy and worried mental state
3131,increase my heart rate, a quantity that is added  the locus of feelings and intuitions a magnitude or frequency relative to a time unit
